Team,NameTag,Division,Conference,Year,Classification
Boston Celtics,BOS,Atlantic Division,Eastern Conference,2023,NBA
Philadelphia 76ers,PHI,Atlantic Division,Eastern Conference,2023,NBA
New York Knicks,NYK,Atlantic Division,Eastern Conference,2023,NBA
Brooklyn Nets,BRK,Atlantic Division,Eastern Conference,2023,NBA
Toronto Raptors,TOR,Atlantic Division,Eastern Conference,2023,NBA
Milwaukee Bucks,MIL,Central Division,Eastern Conference,2023,NBA
Cleveland Cavaliers,CLE,Central Division,Eastern Conference,2023,NBA
Chicago Bulls,CHI,Central Division,Eastern Conference,2023,NBA
Indiana Pacers,IND,Central Division,Eastern Conference,2023,NBA
Detroit Pistons,DET,Central Division,Eastern Conference,2023,NBA
Miami Heat,MIA,Southeast Division,Eastern Conference,2023,NBA
Atlanta Hawks,ATL,Southeast Division,Eastern Conference,2023,NBA
Washington Wizards,WAS,Southeast Division,Eastern Conference,2023,NBA
Orlando Magic,ORL,Southeast Division,Eastern Conference,2023,NBA
Charlotte Hornets,CHO,Southeast Division,Eastern Conference,2023,NBA
Denver Nuggets,DEN,Northwest Division,Western Conference,2023,NBA
Minnesota Timberwolves,MIN,Northwest Division,Western Conference,2023,NBA
Oklahoma City Thunder,OKC,Northwest Division,Western Conference,2023,NBA
Utah Jazz,UTA,Northwest Division,Western Conference,2023,NBA
Portland Trail Blazers,POR,Northwest Division,Western Conference,2023,NBA
Sacramento Kings,SAC,Pacific Division,Western Conference,2023,NBA
Phoenix Suns,PHO,Pacific Division,Western Conference,2023,NBA
Los Angeles Clippers,LAC,Pacific Division,Western Conference,2023,NBA
Golden State Warriors,GSW,Pacific Division,Western Conference,2023,NBA
Los Angeles Lakers,LAL,Pacific Division,Western Conference,2023,NBA
Memphis Grizzlies,MEM,Southwest Division,Western Conference,2023,NBA
New Orleans Pelicans,NOP,Southwest Division,Western Conference,2023,NBA
Dallas Mavericks,DAL,Southwest Division,Western Conference,2023,NBA
Houston Rockets,HOU,Southwest Division,Western Conference,2023,NBA
San Antonio Spurs,SAS,Southwest Division,Western Conference,2023,NBA
