Fecha,Equipo,Cuarto,Jugador,Titular/Suplente,Minutos,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-10-22,New York Knicks,Q1,Mikal Bridges,Titular,12:00,0,4,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.1,-19
2024-10-22,New York Knicks,Q1,OG Anunoby,Titular,9:37,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,1,2,3.3,-13
2024-10-22,New York Knicks,Q1,Jalen Brunson,Titular,9:19,3,3,1.000,0,0,,0,0,,0,1,1,1,0,0,2,0,6,4.1,-13
2024-10-22,New York Knicks,Q1,Josh Hart,Titular,9:19,2,4,.500,0,2,.000,1,2,.500,0,1,1,0,0,0,1,0,5,1.9,-13
2024-10-22,New York Knicks,Q1,Karl-Anthony Towns,Titular,8:06,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.0,-13
2024-10-22,New York Knicks,Q1,Miles McBride,Suplente,5:04,3,3,1.000,1,1,1.000,0,1,.000,0,0,0,0,0,0,0,0,7,5.7,-12
2024-10-22,New York Knicks,Q1,Jericho Sims,Suplente,3:54,0,0,,0,0,,0,0,,1,2,3,0,0,1,0,0,0,2.0,-6
2024-10-22,New York Knicks,Q1,Cameron Payne,Suplente,2:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6
2024-10-22,New York Knicks,Q1,Pacome Dadiet,Suplente, ,,,,,,,,,,,,,,,,,,,,
2024-10-22,New York Knicks,Q1,Ariel Hukporti,Suplente, ,,,,,,,,,,,,,,,,,,,,
2024-10-22,New York Knicks,Q1,Tyler Kolek,Suplente, ,,,,,,,,,,,,,,,,,,,,
2024-10-22,New York Knicks,Q1,Jacob Toppin,Suplente, ,,,,,,,,,,,,,,,,,,,,
2024-10-22,New York Knicks,Q2,Mikal Bridges,Titular,7:12,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2
2024-10-22,New York Knicks,Q2,OG Anunoby,Titular,8:57,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+5
