PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME,TEAM_NAME_CURRENT,TEAM_CITY,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,DRAFT_YEAR,DRAFT_NUMBER,IMAGE_NAME,SEASON_ID,DATA_TYPE,Team_ID
1630639,00,0.0,83,2,905.0,156,355,0.439436619718,56,176,0.318181818181,60,94,0.63829787234,40,117,157,53,25,9,32,77,428,A.J. Lawson,Raptors,Toronto,Guard,6-6,179,Canada,2000-07-15T00:00:00,Undrafted,Undrafted,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png,2024-25,Carreer,
1631260,00,0.0,164,8,2618.0,318,745,0.426845637583,268,637,0.420722135007,43,50,0.86,33,250,283,160,52,11,61,237,947,AJ Green,Bucks,Milwaukee,Guard,6-4,190,USA,1999-09-27T00:00:00,Undrafted,Undrafted,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png,2024-25,Carreer,
1642358,00,0.0,29,11,638.0,82,213,0.384976525821,24,90,0.266666666666,32,37,0.864864864864,8,51,59,76,12,3,35,50,220,AJ Johnson,Wizards,Washington,Guard,6-5,160,USA,2004-12-01T00:00:00,2024,23,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png,2024-25,Carreer,
203932,00,0.0,720,622,21074.0,3696,7637,0.483959670027,762,2302,0.331016507384,1603,2314,0.692739844425,1259,3215,4474,1939,522,445,1068,1406,9757,Aaron Gordon,Nuggets,Denver,Forward,6-8,235,USA,1995-09-16T00:00:00,2014,4,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png,2024-25,Carreer,
1628988,00,0.0,448,66,7366.0,1054,2504,0.420926517571,428,1119,0.382484361036,361,424,0.851415094339,127,582,709,900,262,80,387,645,2897,Aaron Holiday,Rockets,Houston,Guard,6-0,185,USA,1996-09-30T00:00:00,2018,23,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png,2024-25,Carreer,
1630174,00,0.0,288,148,6175.0,909,1964,0.46283095723,410,1066,0.384615384615,342,413,0.82808716707,205,741,946,305,190,114,230,747,2570,Aaron Nesmith,Pacers,Indiana,Guard-Forward,6-6,215,USA,1999-10-16T00:00:00,2020,14,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png,2024-25,Carreer,
1630598,00,0.0,274,79,5478.0,909,1805,0.503601108033,282,725,0.388965517241,251,316,0.794303797468,260,609,869,368,185,62,234,395,2351,Aaron Wiggins,Thunder,Oklahoma City,Guard,6-5,190,USA,1999-01-02T00:00:00,2021,55,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,2024-25,Carreer,
1641745,00,0.0,39,0,216.0,26,103,0.252427184466,15,78,0.192307692307,1,2,0.5,7,20,27,16,8,3,4,15,68,Adam Flagler,Thunder,Oklahoma City,Guard,6-3,180,USA,1999-12-01T00:00:00,Undrafted,Undrafted,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png,2024-25,Carreer,
1641766,00,0.0,13,0,87.0,18,34,0.529411764705,0,0,0.0,8,12,0.666666666666,24,18,42,1,1,0,6,6,44,Adama Sanogo,,,Forward,6-9,245,Mali,2002-02-12T00:00:00,Undrafted,Undrafted,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png,2024-25,Carreer,
1641737,00,0.0,58,11,904.0,135,192,0.703125,0,1,0.0,67,100,0.67,92,153,245,27,26,69,61,125,337,Adem Bona,76ers,Philadelphia,Forward,6-10,235,Nigeria,2003-03-28T00:00:00,2024,41,https://cdn.nba.com/headshots/nba/latest/1040x760/1641737.png,2024-25,Carreer,
